SuModelName;EntityType;EntityName;Units;Value;Option;Comment
subDevelopment_Maize1;State;CumPH;[n];1;NA;number of fully expanded leaves
subDevelopment_Maize1;State;CumPH_Booting;[n];0;NA;number of nodes
subDevelopment_Maize1;State;DS;[-];0;NA;Development stage for calculating root drymatter (See Hybrid-Maize)
subDevelopment_Maize1;State;GDD6;[°C*d];0;NA;Growing degree days from sowing
subDevelopment_Maize1;State;GDD6_from_emergence;[°C*d];0;NA;growing degree days from emergence
subDevelopment_Maize1;State;GDD8;[°C*d];0;NA;Just for Information, not for calculation.
subDevelopment_Maize1;State;TLNO;[n];6;NA;TLNO is the total number of leaves that will eventually appear
subDevelopment_Maize1;State;TSum_leafLagphase;;0;NA;
subDevelopment_Maize1;State;XSTAGE;[-];0;NA;Phenological stage, non integer values
subDevelopment_Maize1;State;XSTAGE_till_tassel_emergence;[-];0;NA;
subDevelopment_Maize1;Parameter;GDD6Emergence;[°C*d];68.34;NA;Temperature sum sowing to emergence
subDevelopment_Maize1;Parameter;GDD6Silking;[°C*d];822.6;NA;Temperature sum silking
subDevelopment_Maize1;Parameter;GDD6Stage2;[°C*d];510;NA;Temperature sum tassel initiation till silking
subDevelopment_Maize1;Parameter;GDD6Stage3;[°C*d];202.6;NA;Temperature sum stage 3
subDevelopment_Maize1;Parameter;GDD6tasini;[°C*d];320;NA;Temperature sum from emergence till tassel initiation
subDevelopment_Maize1;Parameter;GDD6total;[°C*d];1534.97;NA;Temperature sum
subDevelopment_Maize1;Parameter;Phyllochron;[°C*d];54.05;NA; Phyllochron
subDevelopment_Maize1;Parameter;Plastochron;[°C*d];29.18;NA;Plastochron
subDevelopment_Maize1;Parameter;sen_par;[-];0.15;NA;en_fact wird als potenz Funktion angenommen, sen_par ist der Krümmungsfaktor dieser
subDevelopment_Maize1;Parameter;sen_parexp;[-];2;NA;en_fact wird als potenz Funktion angenommen, sen_parexp ist der Exponent dieser
subDevelopment_Maize1;Parameter;SowingDate;[-];39191;NA;Date of sowing (days from 1.1.1990)
subDevelopment_Maize1;Parameter;Tbase6;[°C];6;NA;Base temperature
