"Bodenart","Stufe.Lagerungsdichte","Weff","Weffrel"
"gS",1,9,0.75
"gSms",1,9,0.75
"gSfs",1,9,0.75
"gS",2,9,0.75
"gSms",2,9,0.75
"gSfs",2,9,0.75
"gS",3,7,0.583333333333333
"gSms",3,7,0.583333333333333
"gSfs",3,7,0.583333333333333
"gS",4,5,0.416666666666667
"gSms",4,5,0.416666666666667
"gSfs",4,5,0.416666666666667
"gS",5,4,0.333333333333333
"gSms",5,4,0.333333333333333
"gSfs",5,4,0.333333333333333
"Ss",1,10,0.833333333333333
"mS",1,10,0.833333333333333
"fS",1,10,0.833333333333333
"mSgs",1,10,0.833333333333333
"mSfs",1,10,0.833333333333333
"Ss",2,10,0.833333333333333
"mS",2,10,0.833333333333333
"fS",2,10,0.833333333333333
"mSgs",2,10,0.833333333333333
"mSfs",2,10,0.833333333333333
"Ss",3,8,0.666666666666667
"mS",3,8,0.666666666666667
"fS",3,8,0.666666666666667
"mSgs",3,8,0.666666666666667
"mSfs",3,8,0.666666666666667
"Ss",4,5,0.416666666666667
"mS",4,5,0.416666666666667
"fS",4,5,0.416666666666667
"mSgs",4,5,0.416666666666667
"mSfs",4,5,0.416666666666667
"Ss",5,4,0.333333333333333
"mS",5,4,0.333333333333333
"fS",5,4,0.333333333333333
"mSgs",5,4,0.333333333333333
"mSfs",5,4,0.333333333333333
"Sl2",1,10,0.833333333333333
"Sl2",2,10,0.833333333333333
"Sl2",3,9,0.75
"Sl2",4,6,0.5
"Sl2",5,4,0.333333333333333
"Su2",1,10,0.833333333333333
"Su2",2,10,0.833333333333333
"Su2",3,9,0.75
"Su2",4,6,0.5
"Su2",5,4,0.333333333333333
"Su3",1,10,0.833333333333333
"Su3",2,10,0.833333333333333
"Su3",3,9,0.75
"Su3",4,6,0.5
"Su3",5,4,0.333333333333333
"Su4",1,10,0.833333333333333
"Su4",2,10,0.833333333333333
"Su4",3,9,0.75
"Su4",4,6,0.5
"Su4",5,4,0.333333333333333
"Sl3",1,11,0.916666666666667
"Sl3",2,11,0.916666666666667
"Sl3",3,9,0.75
"Sl3",4,7,0.583333333333333
"Sl3",5,5,0.416666666666667
"St2",1,11,0.916666666666667
"St2",2,11,0.916666666666667
"St2",3,9,0.75
"St2",4,7,0.583333333333333
"St2",5,5,0.416666666666667
"Sl4",1,13,1.08333333333333
"Sl4",2,13,1.08333333333333
"Sl4",3,10,0.833333333333333
"Sl4",4,8,0.666666666666667
"Sl4",5,5,0.416666666666667
"St4",1,13,1.08333333333333
"St4",2,13,1.08333333333333
"St4",3,10,0.833333333333333
"St4",4,8,0.666666666666667
"St4",5,5,0.416666666666667
"Slu",1,13,1.08333333333333
"Slu",2,13,1.08333333333333
"Slu",3,10,0.833333333333333
"Slu",4,8,0.666666666666667
"Slu",5,5,0.416666666666667
"Ls2",1,14,1.16666666666667
"Ls2",2,14,1.16666666666667
"Ls2",3,11,0.916666666666667
"Ls2",4,8,0.666666666666667
"Ls2",5,6,0.5
"Ls3",1,14,1.16666666666667
"Ls3",2,14,1.16666666666667
"Ls3",3,11,0.916666666666667
"Ls3",4,8,0.666666666666667
"Ls3",5,6,0.5
"Ls4",1,14,1.16666666666667
"Ls4",2,14,1.16666666666667
"Ls4",3,11,0.916666666666667
"Ls4",4,8,0.666666666666667
"Ls4",5,6,0.5
"Lt2",1,14,1.16666666666667
"Lt2",2,14,1.16666666666667
"Lt2",3,11,0.916666666666667
"Lt2",4,8,0.666666666666667
"Lt2",5,6,0.5
"Lt3",1,14,1.16666666666667
"Lt3",2,14,1.16666666666667
"Lt3",3,11,0.916666666666667
"Lt3",4,8,0.666666666666667
"Lt3",5,6,0.5
"Lts",1,14,1.16666666666667
"Lts",2,14,1.16666666666667
"Lts",3,11,0.916666666666667
"Lts",4,8,0.666666666666667
"Lts",5,6,0.5
"Uu",1,14,1.16666666666667
"Uu",2,14,1.16666666666667
"Uu",3,11,0.916666666666667
"Uu",4,8,0.666666666666667
"Uu",5,6,0.5
"Us",1,14,1.16666666666667
"Us",2,14,1.16666666666667
"Us",3,11,0.916666666666667
"Us",4,8,0.666666666666667
"Us",5,6,0.5
"Tu2",1,14,1.16666666666667
"Tu2",2,14,1.16666666666667
"Tu2",3,11,0.916666666666667
"Tu2",4,8,0.666666666666667
"Tu2",5,6,0.5
"Tl",1,14,1.16666666666667
"Tl",2,14,1.16666666666667
"Tl",3,11,0.916666666666667
"Tl",4,8,0.666666666666667
"Tl",5,6,0.5
"Tt",1,14,1.16666666666667
"Tt",2,14,1.16666666666667
"Tt",3,11,0.916666666666667
"Tt",4,8,0.666666666666667
"Tt",5,6,0.5
"Uls",1,15,1.25
"Uls",2,15,1.25
"Uls",3,12,1
"Uls",4,8,0.666666666666667
"Uls",5,6,0.5
"Ut2",1,15,1.25
"Ut2",2,15,1.25
"Ut2",3,12,1
"Ut2",4,8,0.666666666666667
"Ut2",5,6,0.5
"Ut3",1,15,1.25
"Ut3",2,15,1.25
"Ut3",3,12,1
"Ut3",4,8,0.666666666666667
"Ut3",5,6,0.5
"Ut4",1,15,1.25
"Ut4",2,15,1.25
"Ut4",3,12,1
"Ut4",4,8,0.666666666666667
"Ut4",5,6,0.5
"Lu",1,15,1.25
"Lu",2,15,1.25
"Lu",3,12,1
"Lu",4,8,0.666666666666667
"Lu",5,6,0.5
"Tu3",1,15,1.25
"Tu3",2,15,1.25
"Tu3",3,12,1
"Tu3",4,8,0.666666666666667
"Tu3",5,6,0.5
"Tu4",1,15,1.25
"Tu4",2,15,1.25
"Tu4",3,12,1
"Tu4",4,8,0.666666666666667
"Tu4",5,6,0.5
