Bodenart;theta_r;theta_s;alpha;n;Ks
fS;0.0059;0.4006;0.0509;1.4641;285.1
fSgs;NA;NA;NA;NA;NA
fSms;0.0212;0.3825;0.06;1.4888;285.1
gS;NA;NA;NA;NA;NA
Ls2;0;0.398235;0.031428;1.1258;38.4
Ls3;0;0.356344;0.03599;1.11582;98.2
Ls4;0;0.343159;0.049791;1.11493;169.9
Lt2;0;0.40984;0.012252;1.10233;62.5
Lt3;0;0.432805;0.00843;1.08326;44.3
Lts;0;0.377863;0.015133;1.08825;52
Lu;0;0.421217;0.013345;1.12614;82.7
mS;0;0.381373;0.184987;1.37136;507.5
mSfs;0.048476;0.384542;0.068725;1.63898;507.5
mSgs;0.042115;0.371479;0.095519;1.6163;507.5
Sl2;0;0.379577;0.078636;1.26415;192.9
Sl3;0;0.363891;0.047598;1.22044;89.9
Sl4;0;0.339446;0.04281;1.17651;141.3
Slu;0;0.386028;0.017596;1.23295;109.5
Ss;0.043019;0.370687;0.087424;1.57535;512.1
St2;0;0.381248;0.121368;1.22531;420.4
St3;0.030253;0.368492;0.108036;1.13906;305.8
Su2;0.05077;0.382197;0.067866;1.43704;285.5
Su3;0;0.363185;0.026439;1.28128;119.9
Su4;0;0.373858;0.016678;1.275;83.3
Tl;0.003932;0.501398;0.033118;1.06283;172.5
Ts2;NA;NA;NA;NA;NA
Ts3;NA;NA;NA;NA;NA
Ts4;NA;NA;NA;NA;NA
Tt;0;0.550541;0.006812;1.08155;154.7
Tu2;0;0.487379;0.003318;1.09388;178.7
Tu3;0;0.446182;0.007518;1.09276;123.8
Tu4;0;0.421068;0.01984;1.10522;88.6
Uls;0;0.4009;0.013197;1.21234;40.2
Us;0;0.416694;0.00896;1.25126;35.5
Ut2;0;0.40781;0.007585;1.25352;29.3
Ut3;0;0.399765;0.008499;1.22524;27.7
Ut4;0;0.399654;0.009133;1.17441;24.6
Uu;0;0.421256;0.003405;1.34475;33.8
